from,to,share
AUS,JPN,0.05849350291503414
DEU,JPN,0.045063062184952096
GBR,JPN,0.036934008350857604
RUS,KAZ,0.5938829914160427
DEU,KAZ,0.27989802610961373
UKR,KAZ,0.050877979823703734
USA,KEN,0.3432415375805721
GBR,KEN,0.26992255432923035
CAN,KEN,0.057462924945708704
AUS,KEN,0.052639136047944325
UGA,KEN,0.0409750419583543
RUS,KGZ,0.7224798410310654
DEU,KGZ,0.13743185510628422
TUR,KGZ,0.03928883914690765
UKR,KGZ,0.027535451199906604
THA,KHM,0.5521015315130505
USA,KHM,0.1846520818652257
FRA,KHM,0.07722819915042457
KOR,KHM,0.05645383777823303
AUS,KHM,0.0434758643054085
NZL,KIR,0.502391310984064
AUS,KIR,0.20319051482757622
FJI,KIR,0.12042546341088285
GBR,KIR,0.0497830747687634
MHL,KIR,0.03650021035343903
USA,KNA,0.5671053566354316
GBR,KNA,0.20841846937574462
VIR,KNA,0.12971469270189673
CAN,KNA,0.0446134932120832
SXM,KNA,0.02006989261993306
USA,KOR,0.48317810063454514
JPN,KOR,0.202261645351751
CHN,KOR,0.06421210811401822
CAN,KOR,0.05951860956424352
AUS,KOR,0.0503120176999107
ARE,KWT,0.29677781905513045
USA,KWT,0.14839648837564287
PSE,KWT,0.08498920325046502
CAN,KWT,0.07111695380381937
GBR,KWT,0.05391102941202668
THA,LAO,0.6885260727489885
USA,LAO,0.1725375000310491
BGD,LAO,0.05614748510194973
FRA,LAO,0.04426486715365949
SAU,LBN,0.17418882942352487
USA,LBN,0.15665397978015355
AUS,LBN,0.11245863002270587
CAN,LBN,0.10986604139790686
DEU,LBN,0.10458876645143399
USA,LBR,0.6552405628894981
GHA,LBR,0.0766592365159123
CIV,LBR,0.060994433389732344
NGA,LBR,0.046565768397247416
AUS,LBR,0.020337942275526797
USA,LCA,0.4999480746162199
GBR,LCA,0.16629794050760288
FRA,LCA,0.12453052365361078
CAN,LCA,0.09126284408843051
VIR,LCA,0.039813518733933094
SAU,LKA,0.267221407291166
QAT,LKA,0.0881991974712958
IND,LKA,0.07897102100434823
AUS,LKA,0.07604530629043457
CAN,LKA,0.07271551195167943
ZAF,LSO,0.9551319545491028
MOZ,LSO,0.02874385904159062
GBR,LTU,0.22491553881024567
RUS,LTU,0.11100347156725518
POL,LTU,0.10399836777722724
DEU,LTU,0.09484394146300039
IRL,LTU,0.07368992735707677
DEU,LUX,0.2885859770921273
FRA,LUX,0.1942694033551446
BEL,LUX,0.17916278619722056
ITA,LUX,0.054959542326346464
PRT,LUX,0.05445155359885823
RUS,LVA,0.2251726895366258
GBR,LVA,0.20735354521686514
