from,to,share
AUT,HRV,0.05009487212722968
CAN,HRV,0.039920974090944986
SVN,HRV,0.039394306932200036
USA,HRV,0.03593597208686502
CHE,HRV,0.02686926458123746
USA,HTI,0.4920965675825513
DOM,HTI,0.21742111138209935
CHL,HTI,0.11473795770571601
FRA,HTI,0.06407054129041588
CAN,HTI,0.06149624525382688
DEU,HUN,0.2926121293979906
GBR,HUN,0.12973043894798983
AUT,HUN,0.11710203655413563
USA,HUN,0.09109686787136728
CAN,HUN,0.05380507120411881
CHE,HUN,0.03844962607244777
AUS,HUN,0.025699781048439233
NLD,HUN,0.024820401777201354
ESP,HUN,0.023631115951028025
SWE,HUN,0.02258225860307743
SAU,IDN,0.3754554007379331
MYS,IDN,0.2523068806759544
ARE,IDN,0.07457189458204515
SGP,IDN,0.04116155620828237
HKG,IDN,0.03325493713615991
BGD,IDN,0.027339432945388764
NLD,IDN,0.025187129489938703
USA,IDN,0.02498876256216327
KWT,IDN,0.02465108138932311
AUS,IDN,0.02083986261345663
ARE,IND,0.22177362393844907
USA,IND,0.17687277472560184
SAU,IND,0.14603999408078822
OMN,IND,0.071756170415517
KWT,IND,0.071118950829294
GBR,IND,0.04987872736923891
QAT,IND,0.04958488206473397
AUS,IND,0.04372145036233116
CAN,IND,0.04289477093016653
BHR,IND,0.020510018571698898
GBR,IRL,0.48506663425046964
USA,IRL,0.1625906045189555
AUS,IRL,0.11685575043248264
CAN,IRL,0.0406469848294171
ESP,IRL,0.029458469826211215
DEU,IRL,0.024693089924893413
DEU,IRQ,0.13820623244081937
TUR,IRQ,0.13767056823348983
USA,IRQ,0.1327429655181289
JOR,IRQ,0.07874293435105262
SYR,IRQ,0.0767012364201472
SWE,IRQ,0.07362856759364113
AUS,IRQ,0.04893230429256751
LBN,IRQ,0.03871907958343599
CAN,IRQ,0.03569761255293172
GBR,IRQ,0.0316558566523853
DNK,ISL,0.21122359523320722
USA,ISL,0.20661879469390076
NOR,ISL,0.1851771748736084
SWE,ISL,0.14627359790460798
ESP,ISL,0.04535831400331759
DEU,ISL,0.038905382908524015
USA,ISR,0.3902635301296467
PSE,ISR,0.16863995093140524
CAN,ISR,0.07858205147615109
DEU,ISR,0.05529828865365263
GBR,ISR,0.05380888646793527
AUS,ISR,0.03361450909278181
FRA,ISR,0.02287772779308369
DEU,ITA,0.2017744892127759
USA,ITA,0.10330500606856045
FRA,ITA,0.0973321617178565
CHE,ITA,0.08600221875087452
CAN,ITA,0.07846090004061318
GBR,ITA,0.07355863107400597
ESP,ITA,0.0592031498139145
AUS,ITA,0.05510019985117528
ARG,ITA,0.04674574250181239
BEL,ITA,0.036742644823921845
USA,JAM,0.7310836342649447
CAN,JAM,0.12797384634226283
GBR,JAM,0.10353656378494079
SAU,JOR,0.2870209143758596
ARE,JOR,0.21602437663699528
USA,JOR,0.1180847886749638
KWT,JOR,0.068091392941265
PSE,JOR,0.057108640262562696
QAT,JOR,0.0453505652611757
OMN,JOR,0.023957969277912442
LBY,JOR,0.023178706561177168
BHR,JOR,0.020591461940289435
USA,JPN,0.43994554302927324
BRA,JPN,0.07570750525121156
AUS,JPN,0.05849350291503414
DEU,JPN,0.045063062184952096
GBR,JPN,0.036934008350857604
CAN,JPN,0.036266714920854794
KOR,JPN,0.027545964692910388
FRA,JPN,0.02597725767865689
IDN,JPN,0.024158685901002223
MYS,JPN,0.023185241190166527
RUS,KAZ,0.5938829914160427
DEU,KAZ,0.27989802610961373
UKR,KAZ,0.050877979823703734
USA,KEN,0.3432415375805721
GBR,KEN,0.26992255432923035
CAN,KEN,0.057462924945708704
AUS,KEN,0.052639136047944325
UGA,KEN,0.0409750419583543
DEU,KEN,0.0343851554498005
MOZ,KEN,0.029652187865017412
TZA,KEN,0.02904787151359751
ZAF,KEN,0.028330594785934277
RUS,KGZ,0.7224798410310654
DEU,KGZ,0.13743185510628422
TUR,KGZ,0.03928883914690765
UKR,KGZ,0.027535451199906604
THA,KHM,0.5521015315130505
USA,KHM,0.1846520818652257
FRA,KHM,0.07722819915042457
KOR,KHM,0.05645383777823303
AUS,KHM,0.0434758643054085
CAN,KHM,0.02673308820275527
NZL,KIR,0.502391310984064
AUS,KIR,0.20319051482757622
FJI,KIR,0.12042546341088285
GBR,KIR,0.0497830747687634
MHL,KIR,0.03650021035343903
SLB,KIR,0.03273182920405177
USA,KNA,0.5671053566354316
GBR,KNA,0.20841846937574462
VIR,KNA,0.12971469270189673
CAN,KNA,0.0446134932120832
SXM,KNA,0.02006989261993306
USA,KOR,0.48317810063454514
JPN,KOR,0.202261645351751
CHN,KOR,0.06421210811401822
CAN,KOR,0.05951860956424352
AUS,KOR,0.0503120176999107
ARE,KWT,0.29677781905513045
USA,KWT,0.14839648837564287
PSE,KWT,0.08498920325046502
CAN,KWT,0.07111695380381937
GBR,KWT,0.05391102941202668
IND,KWT,0.05107155335341639
LBY,KWT,0.04997044355358889
TUR,KWT,0.041577732638368274
AUS,KWT,0.03233968152249268
BHR,KWT,0.030770383303840892
THA,LAO,0.6885260727489885
USA,LAO,0.1725375000310491
BGD,LAO,0.05614748510194973
FRA,LAO,0.04426486715365949
SAU,LBN,0.17418882942352487
USA,LBN,0.15665397978015355
AUS,LBN,0.11245863002270587
CAN,LBN,0.10986604139790686
DEU,LBN,0.10458876645143399
FRA,LBN,0.06233005318052943
ARE,LBN,0.05093559606878263
SWE,LBN,0.034922539455828926
USA,LBR,0.6552405628894981
GHA,LBR,0.0766592365159123
CIV,LBR,0.060994433389732344
NGA,LBR,0.046565768397247416
AUS,LBR,0.020337942275526797
USA,LCA,0.4999480746162199
GBR,LCA,0.16629794050760288
FRA,LCA,0.12453052365361078
CAN,LCA,0.09126284408843051
VIR,LCA,0.039813518733933094
BRB,LCA,0.02583104103565274
SAU,LKA,0.267221407291166
QAT,LKA,0.0881991974712958
IND,LKA,0.07897102100434823
AUS,LKA,0.07604530629043457
CAN,LKA,0.07271551195167943
GBR,LKA,0.06509731669124307
ARE,LKA,0.06451894478507161
ITA,LKA,0.04771874525151049
