source,target,v
724,251,63000761.65099985
156,251,45167459.15699998
842,251,37914923.7200001
826,251,27924341.52599993
757,251,18493921.513000015
616,251,18316323.986
251,258,785300.9360000015
842,258,130494.52800000003
156,258,127729.80599999992
554,258,120135.906
702,258,87947.27099999998
458,258,55119.59599999999
528,258,51227.62500000001
36,258,45785.79199999991
380,258,42651.521
276,258,30601.274999999998
251,260,10788.518999999997
372,260,3853.116
276,260,2991.2529999999997
528,260,1788.411
842,260,1314.6389999999997
203,260,1126.117
208,260,746.3380000000001
152,260,423.26099999999997
76,260,216.04000000000002
56,260,189.86499999999998
156,262,3362915.205999993
784,262,1415034.6770000013
699,262,1182926.6999999997
504,262,539261.8919999998
360,262,481004.12500000023
792,262,472256.43000000063
458,262,349003.7229999999
842,262,179200.36300000016
682,262,169579.0199999999
818,262,134496.217
251,266,716553.5399999996
156,266,646623.065999999
410,266,560374.0100000002
842,266,263642.209
699,266,148892.66199999995
826,266,133887.88499999986
591,266,120641.408
56,266,117253.39399999999
702,266,114543.97700000003
724,266,106096.5910000001
792,268,2620902.2589999977
842,268,1506520.1269999985
276,268,901783.9140000006
31,268,759369.3590000011
784,268,505592.62499999994
76,268,410486.1920000002
392,268,402881.52100000007
380,268,393915.03399999987
100,268,311555.1069999999
251,268,307142.0759999998
208,270,1609527.28
398,270,671472.9220000005
156,270,506365.8160000006
686,270,205343.67000000027
699,270,195672.85799999992
76,270,114601.15599999989
56,270,92486.46600000003
842,270,76657.38800000004
792,270,73754.72199999998
784,270,73428.96599999991
818,275,496197.77999999985
400,275,337851.0920000001
156,275,164822.43900000016
276,275,142623.59399999998
784,275,136747.92000000004
792,275,132373.52800000017
682,275,113727.16899999995
757,275,77862.79200000004
380,275,49165.67600000001
528,275,44248.805
156,276,142100848.34999982
528,276,108329212.97600035
842,276,81695727.39699996
616,276,79795978.83699998
251,276,79103389.47000015
380,276,78602040.28799988
203,276,73885688.05199996
56,276,61650478.87299982
40,276,57577028.656000026
757,276,50602203.296999946
156,288,9214016.635000015
528,288,1350016.2539999997
699,288,999280.5609999996
842,288,816422.4329999993
784,288,659204.856
56,288,564698.8590000008
826,288,435809.173000001
710,288,365336.1919999999
76,288,297101.53699999984
384,288,295334.1590000006
380,292,2680285.8609999996
300,292,1247123.3789999988
724,292,1093601.561000001
528,292,924723.0849999998
699,292,923823.2499999995
251,292,566624.3069999993
566,292,477551.492
826,292,340885.17300000024
620,292,317953.1369999998
842,292,185916.95099999994
156,296,37739.55699999994
36,296,31616.785999999986
242,296,24025.531999999956
392,296,11486.311000000005
554,296,9462.021000000008
490,296,9121.060999999998
579,296,8503.125
764,296,5673.145000000002
360,296,3609.013000000001
458,296,3127.349000000001
276,300,9161740.297999991
156,300,9003850.383000009
380,300,7159177.441000009
368,300,5681810.964000001
528,300,4987388.446000006
792,300,3948779.4760000072
251,300,3933905.070999993
724,300,3249365.5109999967
100,300,3103535.0280000065
643,300,2644653.5090000015
208,304,647002.471
752,304,211327.78200000076
724,304,90283.93399999998
352,304,72325.94699999994
124,304,18361.484999999993
276,304,13346.583999999988
579,304,11026.909
528,304,10329.622999999994
246,304,6354.334999999997
842,304,5999.893999999999
842,308,178035.48200000028
156,308,23740.659000000003
76,308,15042.331000000002
710,308,14426.062
392,308,13365.573999999999
826,308,13039.018999999993
528,308,9950.862000000003
124,308,9356.300000000001
214,308,6902.37
764,308,5838.044
702,316,475148.81100000005
392,316,136782.594
458,316,52118.612000000016
490,316,36552.58200000003
300,316,33726.88299999999
344,316,28915.300999999978
380,316,22381.797999999988
251,316,19969.592999999993
276,316,11244.218000000003
764,316,10935.687000000014
842,320,9584639.937000023
156,320,5324223.130000012
484,320,3255196.167000005
222,320,1197402.5080000036
188,320,885819.1000000004
392,320,734399.9600000005
699,320,646269.5969999989
76,320,614478.4080000005
340,320,608186.5989999988
276,320,596752.1930000002
156,324,2642972.8179999962
699,324,636586.3450000007
528,324,449801.8740000006
56,324,415868.6110000003
784,324,282114.04999999964
276,324,205471.71700000012
251,324,176287.5820000005
842,324,165830.7509999999
792,324,160439.6350000002
686,324,154196.963
842,328,1275536.4700000011
156,328,791310.0799999995
76,328,327378.4210000002
826,328,169920.07499999978
392,328,148427.00400000004
528,328,94927.7279999999
792,328,85496.6149999999
699,328,74748.76599999992
214,328,53827.75899999996
388,328,52988.33499999999
842,332,1153691.4110000008
214,332,856491.0620000013
156,332,525130.1329999999
360,332,141977.55099999998
699,332,109709.54800000004
124,332,96301.26900000003
276,332,76755.84200000003
792,332,73777.65799999995
76,332,68423.42199999996
604,332,67586.60899999997
842,340,6264864.308000011
156,340,2210711.393000003
320,340,1619715.5190000017
222,340,1058405.4110000005
484,340,1056270.919
188,340,601053.8500000007
558,340,368376.7599999999
699,340,298624.0969999999
276,340,293333.9700000001
392,340,275391.54299999966
156,344,257514868.66700003
490,344,50243289.83700002
702,344,43842401.508
410,344,28844463.180000003
392,344,28763373.48599998
842,344,25321418.001999993
458,344,19921450.160000026
704,344,17108422.858999994
757,344,15813326.336999953
784,344,14833602.204999996
276,348,32358125.566999964
156,348,10853555.412000012
40,348,8570186.056999987
203,348,8174048.961000008
703,348,8123150.381999995
410,348,8053606.626999995
616,348,7871916.482999991
528,348,6724210.353999997
380,348,6238982.478000002
643,348,6187518.647000006
579,352,1102029.1879999998
276,352,865245.1410000012
528,352,807116.342
156,352,730790.16499999806
208,352,698726.7930000005
842,352,583125.0090000009
752,352,468971.0710000003
826,352,427869.60199999966
251,352,301560.43999999965
414,352,233816.86899999992
156,360,62363472.9749999
702,360,19385242.597000044
392,360,15232329.868999982
458,360,11047672.240000017
842,360,10674469.745000023
764,360,10633177.498999981
410,360,10517910.170000007
36,360,9052678.921999993
699,360,8015876.136999982
704,360,5299967.728999997
156,364,10025663.716999993
784,364,5777847.973000009
792,364,3062735.173000009
76,364,2298109.4839999992
276,364,1257902.0499999984
699,364,1186576.0050000013
380,364,648274.3669999988
512,364,553660.5110000005
528,364,496413.51499999996
458,364,410948.1649999999
784,368,22638385.694000024
156,368,14282702.156000009
792,368,12752957.563000001
699,368,3470603.6349999965
842,368,1416159.3190000004
276,368,1297058.0109999976
682,368,1294571.907
76,368,1288662.4249999998
380,368,973160.9900000001
400,368,945668.2339999996
826,372,30136086.295000046
842,372,22084789.24900004
276,372,10617234.969999984
156,372,7943441.469999983
251,372,7769706.69199999
528,372,7613530.440999994
380,372,4108613.6560000023
376,372,3885835.512
724,372,3684033.312000006
56,372,3350022.522999995
156,376,14597536.863000005
842,376,9832980.882000022
699,376,6089624.412000014
276,376,5639166.483000004
792,376,5260115.752999987
380,376,3553331.650999996
410,376,2060317.7179999996
643,376,2050656.9449999998
724,376,2027691.2010000027
251,376,1959102.563
276,380,93398041.83000018
251,380,56733275.84100029
156,380,47058879.66399999
528,380,38286099.135999955
724,380,34987167.40199999
56,380,27624915.581000023
842,380,26476446.792999864
757,380,19186622.51899992
616,380,16810303.172
12,380,15222132.157000005
156,384,3833293.5649999985
566,384,2571193.144000001
251,384,1341117.9889999975
699,384,875386.3470000017
842,384,840962.4879999993
56,384,715726.1840000008
191,384,562366.983
276,384,542453.2839999989
504,384,509849.0519999994
643,384,499079.1809999997
842,388,2919393.930999996
156,388,1105352.7840000016
392,388,300856.17000000033
170,388,297249.8059999998
76,388,256579.13899999982
780,388,227227.1730000001
566,388,166679.53999999998
484,388,161040.85800000015
724,388,151804.65600000002
792,388,142533.85499999992
156,392,165417858.19899997
842,392,75586053.43200007
36,392,63734961.37599997
784,392,37430374.977999985
682,392,34674231.61499996
490,392,32490351.57899999
410,392,28445642.86999998
704,392,25116945.014999993
764,392,25103229.077999987
360,392,22878900.883999944
156,398,23901104.085000057
643,398,16140036.043000026
276,398,3459384.3089999924
792,398,3018245.593
270,398,2907673.7799999993
410,398,2208503.563999997
842,398,1803559.0450000013
860,398,1370860.8110000012
251,398,1233338.8490000025
784,398,1188176.4959999975
156,400,5362632.942999997
682,400,3997494.211999999
784,400,2405011.0430000043
699,400,1667018.2170000018
842,400,1512522.429999999
360,400,1238205.7970000005
276,400,912800.4990000012
792,400,890403.2720000024
818,400,753818.6570000007
380,400,695408.8020000005
156,404,6246588.8250000095
699,404,3244759.582999997
784,404,3140978.339000003
458,404,1240004.557000001
682,404,1103792.0930000015
392,404,847219.9200000003
842,404,707386.2199999996
710,404,670297.9489999994
800,404,649301.708
643,404,590394.4970000001
156,408,2003112.690999998
604,408,18546.779000000002
266,408,17745.159
699,408,1881.5079999999998
566,408,1331.711
800,408,1286.3799999999999
340,408,979.8760000000001
528,408,743.4200000000001
344,408,677.215
834,408,232.157
156,410,147088939.20700008
842,410,61331376.044000044
392,410,42706494.09700004
276,410,21831936.027999967
36,410,20898612.91699995
702,410,20116354.396000028
490,410,18043408.294999983
458,410,12201642.190000007
634,410,12059228.041
360,410,10300832.081999972
156,414,7468165.718000012
784,414,4256170.455999993
842,414,3380196.924000006
392,414,2566830.7810000023
682,414,2395497.1359999995
699,414,2066086.7639999997
634,414,1834860.8220000006
276,414,1318548.2839999995
380,414,1011137.5430000008
826,414,845518.3849999983
156,417,18182326.537000004
643,417,2176322.1849999945
784,417,1318017.9279999998
792,417,1262936.478
398,417,1150824.476000001
276,417,770521.5400000006
860,417,768256.0139999994
410,417,550725.041
440,417,421151.1199999999
380,417,243644.1159999999
764,418,4644103.072999997
156,418,2897675.9660000014
392,418,100048.84600000002
702,418,66161.88099999995
276,418,44220.445000000014
458,418,29579.056000000008
76,418,27896.47800000001
842,418,21990.576999999997
56,418,20560.246
251,418,18842.004999999983
156,422,2367009.378999994
757,422,1727645.565000003
784,422,1707622.3520000002
792,422,1602544.7390000045
300,422,1540415.3580000002
380,422,1198965.4099999976
818,422,525749.2490000003
842,422,499268.30399999977
276,422,494367.53100000013
196,422,481042.79000000004
710,426,1386339.5030000012
156,426,171759.0139999999
490,426,54619.43000000005
392,426,18420.715
699,426,17093.132000000005
894,426,13224.331999999997
704,426,10425.371
508,426,9964.387
344,426,9020.437000000007
842,426,7832.907999999997
440,428,5051618.564999986
276,428,2631160.210999995
616,428,2450976.991000008
233,428,1951551.1529999974
246,428,1128075.7209999987
528,428,1067094.0610000016
156,428,999318.8210000022
380,428,885702.2239999995
752,428,750947.5489999988
643,428,655964.1859999994
156,430,8745752.403000003
392,430,2837853.320999999
276,430,1109115.5339999998
76,430,416174.2300000002
792,430,349618.28599999973
300,430,299513.08000000037
699,430,270853.5620000006
842,430,262699.7529999998
196,430,225072.41300000003
208,430,199314.301
156,434,3900876.9439999987
792,434,3256165.3340000026
380,434,1839112.2650000001
784,434,1834173.8620000042
818,434,1785601.0480000007
300,434,1707589.3259999992
788,434,846786.9059999995
196,434,775251.9870000003
276,434,620747.7069999996
699,434,505165.9359999998
276,440,6141208.821999988
616,440,5883530.95100001
428,440,3793078.839000006
842,440,3282123.800000001
579,440,2575250.520000002
528,440,2498186.596000007
682,440,2173186.9310000003
156,440,1909511.277000001
752,440,1865461.7830000054
233,440,1769766.4359999967
56,442,6996337.969999984
276,442,6495838.463999991
251,442,3066150.7920000027
842,442,1657670.021
528,442,1551598.6069999943
